DateTime,Entries,UniqueIPs
1460744883,1214,1214
1460745724,1192,1192
1460746563,1199,1199
1460747643,1198,1198
1460748484,1205,1205
1460749323,1201,1201
1460750162,1200,1200
1460751012,1197,1197
1460752084,1202,1202
1460752923,1204,1204
1460753762,1207,1207
1460754603,1205,1205
1460755683,1209,1209
1460756523,1205,1205
1460757363,1207,1207
1460758213,1201,1201
1460759283,1203,1203
1460760123,1201,1201
1460760961,1202,1202
1460762043,1199,1199
1460762883,1201,1201
1460763723,1195,1195
1460764563,1200,1200
1460765413,1198,1198
1460766483,1202,1202
1460767324,1196,1196
1460768162,1203,1203
1460769003,1202,1202
1460770083,1207,1207
1460770923,1204,1204
1460771763,1207,1207
1460772612,1207,1207
1460773683,1214,1214
1460774523,1210,1210
1460775363,1212,1212
1460776203,1213,1213
1460777282,1220,1220
1460778123,1217,1217
1460778963,1222,1222
1460779813,1225,1225
1460780883,1226,1226
1460781723,1220,1220
1460782563,1222,1222
1460783403,1216,1216
1460784483,1217,1217
1460785324,1213,1213
1460786163,1218,1218
1460787013,1210,1210
1460788083,1215,1215
1460788923,1206,1206
1460790029,1212,1212
1460790843,1215,1215
1460791683,1217,1217
1460792523,1214,1214
1460793363,1219,1219
1460794212,1222,1222
1460795283,1230,1230
1460796123,1216,1216
1460796962,1225,1225
1460797803,1228,1228
1460798883,1232,1232
1460799723,1228,1228
1460800563,1230,1230
1460801643,1234,1234
1460802484,1241,1241
1460803323,1234,1234
1460804163,1237,1237
1460805004,1233,1233
1460806083,1238,1238
1460806924,1236,1236
1460807764,1241,1241
1460808843,1243,1243
1460809683,1246,1246
1460810523,1249,1249
1460811363,1249,1249
1460812203,1247,1247
1460813283,1252,1252
1460814123,1248,1248
1460814963,1254,1254
1460815812,1255,1255
1460816883,1258,1258
1460817723,1255,1255
1460818562,1261,1261
1460819403,1262,1262
1460820483,1269,1269
1460821323,1260,1260
1460823012,1263,1263
1460824084,1269,1269
1460824923,1276,1276
1460825763,1278,1278
1460826573,1283,1283
1460827683,1285,1285
1460828523,1265,1265
1460829363,1268,1268
1460830443,1265,1265
1460831282,1271,1271
1460832122,1266,1266
1460832962,1272,1272
1460833804,1269,1269
1460834883,1276,1276
1460835725,1266,1266
1460836563,1269,1269
1460837412,1269,1269
1460838482,1273,1273
1460839323,1267,1267
1460840163,1273,1273
1460840997,1271,1271
1460842083,1272,1272
1460842923,1269,1269
1460843763,1275,1275
1460844029,1271,1271
1460844844,1275,1275
1460845683,1278,1278
1460846522,1271,1271
1460847363,1277,1277
1460848442,1277,1277
1460849284,1282,1282
1460850123,1276,1276
1460850962,1277,1277
1460851813,1276,1276
1460852883,1279,1279
1460853723,1273,1273
1460854563,1279,1279
1460855642,1279,1279
1460856483,1283,1283
1460857323,1277,1277
1460858429,1272,1272
1460859242,1272,1272
1460860922,1271,1271
1460861762,1273,1273
1460862603,1268,1268
1460863683,1272,1272
1460864523,1273,1273
1460865363,1276,1276
1460866213,1269,1269
1460867283,1274,1274
1460868123,1275,1275
1460868963,1279,1279
1460869804,1277,1277
1460870882,1276,1276
1460871723,1266,1266
1460872563,1267,1267
1460873643,1267,1267
1460874483,1268,1268
1460875322,1262,1262
1460876162,1264,1264
1460876418,1262,1262
1460877243,1264,1264
1460878084,1265,1265
1460878924,1240,1240
1460879763,1242,1242
1460880613,1237,1237
1460881683,1238,1238
1460882523,1228,1228
1460883363,1234,1234
1460884203,1231,1231
1460885283,1238,1238
1460886122,1233,1233
1460886963,1240,1240
1460888043,1237,1237
1460888882,1243,1243
1460889723,1238,1238
1460890562,1240,1240
1460891642,1241,1241
1460892483,1244,1244
1460893324,1225,1225
1460894162,1229,1229
1460895012,1226,1226
1460896082,1230,1230
1460896924,1229,1229
1460898018,1228,1228
1460898844,1231,1231
1460899683,1237,1237
1460900523,1227,1227
1460901363,1241,1241
1460902213,1243,1243
1460903283,1250,1250
1460904124,1240,1240
1460904963,1246,1246
1460905804,1246,1246
1460907003,1251,1251
1460909643,1254,1254
1460910482,1257,1257
1460911323,1238,1238
1460912163,1241,1241
1460913003,1243,1243
1460914083,1246,1246
1460914923,1231,1231
1460916843,1232,1232
1460917683,1236,1236
1460918523,1232,1232
1460919363,1238,1238
1460920203,1234,1234
1460921283,1237,1237
1460922123,1231,1231
1460922961,1239,1239
1460924042,1236,1236
1460924883,1237,1237
1460925724,1238,1238
1460926563,1242,1242
1460927404,1241,1241
1460928483,1245,1245
1460929323,1241,1241
1460930163,1242,1242
1460931243,1243,1243
1460932083,1247,1247
1460932923,1245,1245
1460933763,1247,1247
1460934603,1249,1249
1460935683,1253,1253
1460936523,1244,1244
1460937364,1249,1249
1460938212,1250,1250
1460939283,1257,1257
1460940124,1246,1246
1460940963,1250,1250
1460941803,1246,1246
1460942883,1251,1251
1460943723,1246,1246
1460944563,1254,1254
1460945412,1252,1252
1460946483,1256,1256
1460947323,1257,1257
1460949003,1255,1255
1460950083,1260,1260
1460950923,1260,1260
1460951762,1266,1266
1460952612,1270,1270
1460953683,1273,1273
1460954523,1267,1267
1460955363,1270,1270
1460956203,1269,1269
1460957282,1274,1274
1460958125,1272,1272
1460958964,1276,1276
1460960883,1279,1279
1460961723,1272,1272
1460962563,1276,1276
1460963403,1273,1273
1460964483,1276,1276
1460965323,1268,1268
1460966163,1267,1267
1460966965,1260,1260
1460968083,1262,1262
1460968923,1261,1261
1460970019,1260,1260
1460970843,1264,1264
1460971682,1266,1266
1460972523,1257,1257
1460973363,1261,1261
1460974444,1257,1257
1460975283,1259,1259
1460976123,1256,1256
1460976962,1257,1257
1460977803,1255,1255
1460978883,1260,1260
1460979723,1245,1245
1460980563,1248,1248
1460981644,1243,1243
1460982483,1250,1250
1460983324,1252,1252
1460984163,1257,1257
1460985004,1255,1255
1460986083,1260,1260
1460986923,1254,1254
1460987763,1256,1256
1460988843,1259,1259
1460989684,1262,1262
1460990522,1254,1254
1460991363,1257,1257
1460992204,1256,1256
1460993283,1259,1259
1460994123,1242,1242
1460994963,1247,1247
1460996043,1242,1242
1460996882,1247,1247
1460997723,1240,1240
1460998563,1241,1241
1460999404,1242,1242
1461000483,1247,1247
1461001323,1245,1245
1461002163,1249,1249
1461003243,1250,1250
1461004083,1260,1260
1461004924,1257,1257
1461005763,1264,1264
1461006603,1261,1261
1461007683,1271,1271
1461008523,1268,1268
1461009363,1273,1273
1461010213,1270,1270
1461011283,1273,1273
1461012123,1269,1269
1461012964,1275,1275
1461016564,1282,1282
1461017642,1283,1283
1461018482,1291,1291
1461019324,1283,1283
1461020162,1290,1290
1461021243,1283,1283
1461022083,1286,1286
1461022923,1277,1277
1461023763,1282,1282
1461024843,1281,1281
1461025683,1284,1284
1461026523,1277,1277
1461028444,1279,1279
1461029284,1284,1284
1461030123,1281,1281
1461031218,1281,1281
1461032043,1284,1284
1461032883,1287,1287
1461033722,1279,1279
1461034563,1284,1284
1461035643,1278,1278
1461036483,1282,1282
1461037324,1277,1277
1461038163,1280,1280
1461039013,1280,1280
1461040083,1288,1288
1461040923,1280,1280
1461041763,1285,1285
1461043682,1292,1292
1461044523,1281,1281
1461045363,1287,1287
1461046213,1287,1287
1461047283,1289,1289
1461048123,1291,1291
1461048963,1295,1295
1461049802,1293,1293
1461050883,1296,1296
1461051723,1294,1294
1461052562,1297,1297
1461053413,1297,1297
1461054484,1299,1299
1461055324,1282,1282
1461056163,1288,1288
1461057003,1284,1284
1461058083,1290,1290
1461058924,1280,1280
1461059764,1286,1286
1461060612,1285,1285
1461061682,1291,1291
1461062523,1283,1283
1461063363,1287,1287
1461064443,1278,1278
1461065282,1281,1281
1461066124,1274,1274
1461066963,1282,1282
1461068043,1286,1286
1461068883,1291,1291
1461069723,1285,1285
1461070563,1289,1289
1461071643,1290,1290
1461072483,1296,1296
1461073323,1291,1291
1461074162,1300,1300
1461075013,1306,1306
1461076083,1314,1314
1461076923,1309,1309
1461077763,1320,1320
1461078603,1321,1321
1461079683,1334,1334
1461081363,1332,1332
1461082443,1336,1336
1461083282,1344,1344
1461084123,1340,1340
1461084963,1349,1349
1461085803,1344,1344
1461086882,1353,1353
1461087723,1340,1340
1461088562,1344,1344
1461089644,1351,1351
1461090482,1360,1360
1461091323,1362,1362
1461092163,1367,1367
1461093003,1377,1377
1461094084,1386,1386
1461094923,1387,1387
1461095763,1390,1390
1461096614,1388,1388
1461097682,1395,1395
1461098524,1393,1393
1461099363,1399,1399
1461100204,1400,1400
1461104043,1406,1406
1461104883,1416,1416
1461105723,1417,1417
1461106562,1421,1421
1461107397,1421,1421
1461108482,1438,1438
1461109324,1436,1436
1461110162,1443,1443
1461111012,1442,1442
1461112083,1450,1450
1461112924,1449,1449
1461113763,1453,1453
1461114603,1454,1454
1461115683,1459,1459
1461116523,1445,1445
1461117363,1454,1454
1461118213,1453,1453
1461119283,1462,1462
1461120124,1457,1457
1461120962,1465,1465
1461122043,1461,1461
1461122883,1462,1462
1461123724,1455,1455
1461124564,1458,1458
1461125643,1458,1458
